000:03:51.593,Info,Arena,2,Enter_Zone,4
000:03:51.959,Info,Arena,2,Exit_Zone,4
000:03:51.959,Info,Arena,2,Enter_Zone,1
000:03:54.259,Info,Arena,2,Exit_Zone,1
000:03:54.259,Info,Arena,2,Enter_Zone,4
000:03:54.396,Info,Arena,2,Exit_Zone,4
000:03:54.396,Info,Arena,2,Enter_Zone,3
000:03:55.027,Info,Arena,1,Exit_Zone,3
000:03:55.027,Info,Arena,1,Enter_Zone,4
000:03:55.192,Info,Arena,1,Exit_Zone,4
000:03:55.192,Info,Arena,1,Enter_Zone,1
000:03:57.093,Info,Arena,1,Exit_Zone,1
000:03:57.093,Info,Arena,1,Enter_Zone,4
000:03:57.192,Info,Arena,1,Exit_Zone,4
000:03:57.192,Info,Arena,1,Enter_Zone,1
000:03:57.958,Info,Arena,2,Exit_Zone,3
000:03:57.958,Info,Arena,2,Enter_Zone,4
000:03:58.792,Info,Arena,2,Exit_Zone,4
000:03:58.792,Info,Arena,2,Enter_Zone,1
000:03:59.758,Info,Arena,1,Exit_Zone,1
000:03:59.758,Info,Arena,1,Enter_Zone,4
000:04:00.561,Info,Arena,1,Exit_Zone,4
000:04:00.561,Info,Arena,1,Enter_Zone,3
000:04:01.395,Info,Arena,2,Exit_Zone,1
000:04:01.395,Info,Arena,2,Enter_Zone,4
000:04:02.124,Info,Arena,2,Exit_Zone,4
000:04:02.124,Info,Arena,2,Enter_Zone,2
000:04:03.025,Info,Arena,1,Exit_Zone,3
000:04:03.025,Info,Arena,1,Enter_Zone,4
000:04:03.124,Info,Arena,1,Exit_Zone,4
000:04:03.124,Info,Arena,1,Enter_Zone,3
000:04:03.324,Info,Arena,1,Exit_Zone,3
000:04:03.324,Info,Arena,1,Enter_Zone,4
000:04:03.957,Info,Arena,1,Exit_Zone,4
000:04:03.957,Info,Arena,1,Enter_Zone,3
000:04:05.228,Info,Arena,2,Exit_Zone,2
000:04:05.228,Info,Arena,2,Enter_Zone,4
000:04:05.590,Info,Arena,1,Exit_Zone,3
000:04:05.590,Info,Arena,1,Enter_Zone,4
000:04:05.990,Info,Arena,2,Exit_Zone,4
000:04:05.990,Info,Arena,2,Enter_Zone,1
000:04:06.457,Info,Arena,1,Exit_Zone,4
000:04:06.457,Info,Arena,1,Enter_Zone,2
000:04:06.727,Info,Arena,2,Exit_Zone,1
000:04:06.727,Info,Arena,2,Enter_Zone,4
000:04:07.624,Info,Arena,1,Exit_Zone,2
000:04:07.624,Info,Arena,1,Enter_Zone,4
000:04:07.624,Info,Arena,2,Exit_Zone,4
000:04:07.624,Info,Arena,2,Enter_Zone,1
000:04:08.393,Info,Arena,1,Exit_Zone,4
000:04:08.393,Info,Arena,1,Enter_Zone,3
000:04:09.024,Info,Arena,2,Exit_Zone,1
000:04:09.024,Info,Arena,2,Enter_Zone,4
000:04:09.323,Info,Arena,2,Exit_Zone,4
000:04:09.323,Info,Arena,2,Enter_Zone,3
000:04:14.355,Info,Arena,2,Exit_Zone,3
000:04:14.355,Info,Arena,2,Enter_Zone,4
000:04:14.655,Info,Arena,2,Exit_Zone,4
000:04:14.655,Info,Arena,2,Enter_Zone,1
000:04:14.892,Info,Arena,1,Exit_Zone,3
000:04:14.892,Info,Arena,1,Enter_Zone,4
000:04:15.755,Info,Arena,1,Exit_Zone,4
000:04:15.755,Info,Arena,1,Enter_Zone,2
000:04:18.354,Info,Arena,2,Exit_Zone,1
000:04:18.354,Info,Arena,2,Enter_Zone,4
000:04:18.954,Info,Arena,2,Exit_Zone,4
000:04:18.954,Info,Arena,2,Enter_Zone,3
000:04:19.321,Info,Arena,2,Exit_Zone,3
000:04:19.321,Info,Arena,2,Enter_Zone,4
000:04:19.655,Info,Arena,2,Exit_Zone,4
000:04:19.655,Info,Arena,2,Enter_Zone,2
000:04:21.154,Info,Arena,2,Exit_Zone,2
000:04:21.154,Info,Arena,2,Enter_Zone,4
000:04:21.520,Info,Arena,2,Exit_Zone,4
000:04:21.520,Info,Arena,2,Enter_Zone,3
000:04:23.320,Info,Arena,2,Exit_Zone,3
000:04:23.320,Info,Arena,2,Enter_Zone,4
000:04:23.587,Info,Arena,2,Exit_Zone,4
000:04:23.587,Info,Arena,2,Enter_Zone,3
000:04:25.390,Info,Arena,1,Exit_Zone,2
000:04:25.390,Info,Arena,1,Enter_Zone,4
000:04:26.224,Info,Arena,1,Exit_Zone,4
000:04:26.224,Info,Arena,1,Enter_Zone,1
000:04:29.086,Info,Arena,2,Exit_Zone,3
000:04:29.086,Info,Arena,2,Enter_Zone,4
000:04:29.319,Info,Arena,2,Exit_Zone,4
000:04:29.319,Info,Arena,2,Enter_Zone,1
000:04:33.784,Info,Arena,1,Exit_Zone,1
000:04:33.784,Info,Arena,1,Enter_Zone,4
000:04:34.084,Info,Arena,1,Exit_Zone,4
000:04:34.084,Info,Arena,1,Enter_Zone,2
000:04:34.388,Info,Arena,1,Exit_Zone,2
000:04:34.388,Info,Arena,1,Enter_Zone,4
000:04:35.558,Info,Arena,1,Exit_Zone,4
000:04:35.558,Info,Arena,1,Enter_Zone,1
000:04:37.450,Info,Arena,2,Exit_Zone,1
000:04:37.450,Info,Arena,2,Enter_Zone,4
000:04:37.584,Info,Arena,2,Exit_Zone,4
000:04:37.584,Info,Arena,2,Enter_Zone,1
000:04:42.517,Info,Arena,2,Exit_Zone,1
000:04:42.517,Info,Arena,2,Enter_Zone,4
000:04:42.649,Info,Arena,2,Exit_Zone,4
000:04:42.649,Info,Arena,2,Enter_Zone,3
000:04:43.516,Info,Arena,2,Exit_Zone,3
000:04:43.516,Info,Arena,2,Enter_Zone,4
000:04:43.916,Info,Arena,1,Exit_Zone,1
000:04:43.916,Info,Arena,1,Enter_Zone,4
000:04:44.221,Info,Arena,2,Exit_Zone,4
000:04:44.221,Info,Arena,2,Enter_Zone,1
000:04:44.617,Info,Arena,1,Exit_Zone,4
000:04:44.617,Info,Arena,1,Enter_Zone,3
000:04:46.220,Info,Arena,2,Exit_Zone,1
000:04:46.220,Info,Arena,2,Enter_Zone,4
000:04:46.749,Info,Arena,2,Exit_Zone,4
000:04:46.749,Info,Arena,2,Enter_Zone,3
000:04:46.886,Info,Arena,1,Exit_Zone,3
000:04:46.886,Info,Arena,1,Enter_Zone,4
000:04:47.448,Info,Arena,1,Exit_Zone,4
000:04:47.448,Info,Arena,1,Enter_Zone,2
000:04:47.948,Info,Arena,1,Exit_Zone,2
000:04:47.948,Info,Arena,1,Enter_Zone,4
000:04:48.115,Info,Arena,1,Exit_Zone,4
000:04:48.115,Info,Arena,1,Enter_Zone,1
000:04:51.348,Info,Arena,2,Exit_Zone,3
000:04:51.348,Info,Arena,2,Enter_Zone,4
000:04:51.581,Info,Arena,2,Exit_Zone,4
000:04:51.581,Info,Arena,2,Enter_Zone,3
000:04:55.384,Info,Arena,1,Exit_Zone,1
000:04:55.384,Info,Arena,1,Enter_Zone,4
000:04:55.615,Info,Arena,2,Exit_Zone,3
000:04:55.615,Info,Arena,2,Enter_Zone,4
000:04:55.847,Info,Arena,1,Exit_Zone,4
000:04:55.847,Info,Arena,1,Enter_Zone,2
000:04:55.947,Info,Arena,2,Exit_Zone,4
000:04:55.947,Info,Arena,2,Enter_Zone,2
000:04:57.646,Info,Arena,2,Exit_Zone,2
000:04:57.646,Info,Arena,2,Enter_Zone,4
000:04:57.846,Info,Arena,2,Exit_Zone,4
000:04:57.846,Info,Arena,2,Enter_Zone,1
000:04:58.446,Info,Arena,2,Exit_Zone,1
000:04:58.446,Info,Arena,2,Enter_Zone,4
000:04:59.082,Info,Arena,2,Exit_Zone,4
000:04:59.082,Info,Arena,2,Enter_Zone,1
000:04:59.946,Info,Arena,2,Exit_Zone,1
000:04:59.946,Info,Arena,2,Enter_Zone,4
000:05:00.414,Info,Arena,2,Exit_Zone,4
000:05:00.414,Info,Arena,2,Enter_Zone,3
000:05:06.081,Info,Arena,1,Exit_Zone,2
000:05:06.081,Info,Arena,1,Enter_Zone,4
000:05:06.382,Info,Arena,1,Exit_Zone,4
000:05:06.382,Info,Arena,1,Enter_Zone,2
000:05:06.445,Info,Arena,1,Exit_Zone,2
000:05:06.445,Info,Arena,1,Enter_Zone,4
000:05:07.344,Info,Arena,1,Exit_Zone,4
000:05:07.344,Info,Arena,1,Enter_Zone,1
000:05:07.944,Info,Arena,2,Exit_Zone,3
000:05:07.944,Info,Arena,2,Enter_Zone,4
000:05:08.778,Info,Arena,2,Exit_Zone,4
000:05:08.778,Info,Arena,2,Enter_Zone,1
000:05:10.177,Info,Arena,2,Exit_Zone,1
000:05:10.177,Info,Arena,2,Enter_Zone,4
000:05:10.310,Info,Arena,1,Exit_Zone,1
000:05:10.310,Info,Arena,1,Enter_Zone,4
000:05:11.310,Info,Arena,1,Exit_Zone,4
000:05:11.310,Info,Arena,1,Enter_Zone,2
000:05:12.478,Info,Arena,2,Exit_Zone,4
000:05:12.478,Info,Arena,2,Enter_Zone,1
000:05:13.343,Info,Arena,2,Exit_Zone,1
000:05:13.343,Info,Arena,2,Enter_Zone,4
000:05:13.380,Info,Arena,1,Exit_Zone,2
000:05:13.380,Info,Arena,1,Enter_Zone,4
000:05:14.215,Info,Arena,2,Exit_Zone,4
000:05:14.215,Info,Arena,2,Enter_Zone,3
